Produto,Unidade,Origem,Menor Preço,Preço Médio,Maior Preço,Quantidade
Bacalhau,Cx.25Kg,NOR,Saith,"R$ 1.147,50","R$ 1.147,50","R$ 1.147,50"
Camarão C/Casca,Kg,SC-CE,Fresco-Grande,"R$ 46,00","R$ 46,00","R$ 54,00"
Camarão C/Casca,Kg,SC-CE,Fresco-Médio,"R$ 24,00","R$ 33,00","R$ 33,00"
Camarão C/Casca,Kg,CE-SC,Fresco-Pequeno,"R$ 22,00","R$ 22,00","R$ 24,00"
Peixe de água Salgada,Kg,RS-SC-,Albacora,"R$ 12,80","R$ 12,80","R$ 12,80"
Peixe de Água Salgada,Kg,RS-SC,Anchova,"R$ 12,80","R$ 12,80","R$ 12,80"
Peixe de Água Salgada,Kg,RS-SC,Castanha,"R$ 11,80","R$ 11,80","R$ 11,80"
Peixe de Água Salgada,Kg,RS-SC,Cavalinha,"R$ 0,00","R$ 0,00","R$ 0,00"
Peixe de Água Salgada,Kg,RS-SC,Cioba,"R$ 59,80","R$ 59,80","R$ 59,80"
Peixe de Água Salgada,Kg,RS-SC,Corvina,"R$ 13,50","R$ 13,50","R$ 13,50"
Peixe de Água Salgada,Kg,RS-SC,Sardinha,"R$ 7,89","R$ 7,89","R$ 7,89"
Peixe de Água Salgada,Kg,RS-SC,Tainha,"R$ 13,90","R$ 13,90","R$ 13,90"
