Produto,Classificação,Uni/Peso,Menor,Comun,Maior,Quilo
ABRÓTEA,G,KG,7,9,12,1
ANCHOVAS,-,KG,14,16,18,1
ATUM,G,KG,28,29,30,1
ATUM,M,KG,23,24,25,1
ATUM,P,KG,"12,05","13,05","14,05",1
BAGRE ÁGUA SALGADA,-,KG,5,"5,5",6,1
BERBIGÃO LIMPO,-,KG,18,19,20,1
BONITO,-,KG,"3,5",4,"4,5",1
CAMARÃO CATIVEIRO,G,KG,"33,8","35,12","36,44",1
CAMARÃO CATIVEIRO,M,KG,"26,78","27,78","28,79",1
CAMARÃO CATIVEIRO,P,KG,"22,04","23,05","24,04",1
CAMARÃO PITU (LAGOSTIN),-,KG,36,38,40,1
CAMARÃO ROSA,G,KG,82,85,87,1
CAMARÃO ROSA,M,KG,62,65,67,1
CAMARÃO ROSA,P,KG,"42,4",45,47,1
CAMARÃO SETE BARBAS,-,KG,8,9,10,1
CARAPEBA,-,KG,4,"4,5",5,1
CAVALINHA,-,KG,4,"4,5",5,1
CAÇÃO AZUL,-,KG,"14,33","15,33","16,33",1
CHIOVA,-,KG,13,14,15,1
CORVINA ÁGUA SALGADA,G,KG,9,"9,5",10,1
CORVINA ÁGUA SALGADA,M,KG,6,"6,5",7,1
CORVINA ÁGUA SALGADA,P,KG,4,"4,5",5,1
CÔNGRIO ROSA,-,KG,20,22,24,1
ESPADA,G,KG,"6,91","7,41","7,92",1
ESPADA,M,KG,"5,19","5,57","5,91",1
ESPADA,P,KG,"3,46","3,96","4,46",1
FILE DE MERLUZA,-,KG,28,30,32,1
FILE DE TILAPIA,-,KG,"34,25","36,02","37,81",1
GALO,-,KG,"2,5",3,"3,5",1
GUAIVIRA,-,KG,2,"2,3","2,5",1
LINGUADO,G,KG,"25,3","26,3","27,3",1
LINGUADO,M,KG,"15,3","16,3","17,3",1
LINGUADO,P,KG,"8,68","9,68","10,68",1
LULA,G,KG,33,34,35,1
LULA,M,KG,18,19,20,1
MANJUBA,-,KG,6,"6,5",7,1
MEXILHÃO LIMPO,-,KG,26,27,28,1
MISTURA ÁGUA SALGADA,-,KG,"2,5",3,"3,5",1
NAMORADO,G,KG,"34,47","35,48","36,47",1
NAMORADO,M,KG,30,31,32,1
OSTRA,-,KG,40,42,45,1
OVEVA,-,KG,4,"4,5",5,1
PALOMBETA,-,KG,3,"3,5",4,1
PARGO,G,KG,26,27,28,1
PARGO,M,KG,13,14,15,1
PARGO,P,KG,"12,79","13,79","14,79",1
PEROA (PORQUINHO),-,KG,"5,63","6,12","6,62",1
PESCADA AMARELA,-,KG,36,38,40,1
PESCADA BRANCA,G,KG,"12,49","13,49","14,5",1
PESCADA BRANCA,M,KG,"9,5","10,25","10,99",1
PESCADA BRANCA,P,KG,6,7,8,1
PESCADA CUMBUCU,G,KG,23,24,25,1
PESCADA CUMBUCU,M,KG,18,19,20,1
PESCADA CUMBUCU,P,KG,13,14,15,1
PESCADA GOETE,G,KG,7,"7,5",8,1
PESCADA GOETE,M,KG,5,"5,5",6,1
PESCADA GOETE,P,KG,3,"3,5",4,1
PESCADA MARIA-MOLE,G,KG,"8,71","9,2","9,71",1
PESCADA MARIA-MOLE,M,KG,6,"6,5",7,1
PESCADA MARIA-MOLE,P,KG,4,"4,5",5,1
PINTADO,-,KG,17,18,19,1
PIRAJICA,-,KG,"2,57","3,08","3,57",1
POLVO,G,KG,59,"61,33","63,33",1
POLVO,M,KG,39,"41,34","43,33",1
POLVO,P,KG,30,"31,67","33,33",1
ROBALO,-,KG,45,48,50,1
SALMÃO IMPORTADO,-,KG,"45,05","48,05","50,1",1
SARDINHA CONGELADA,-,KG,8,9,10,1
SOROROCA,-,KG,10,11,12,1
TAINHA,P,KG,6,"6,5",7,1
TAMBAQUI,-,KG,12,13,14,1
TILÁPIA,-,KG,"8,91","9,8","10,7",1
TRUTA,-,KG,"25,39","27,39","29,39",1
